id,cardno,expansion,japanese_name,image_url,detail_page_url,japanese_set_name,card_class,card_type,card_subtype,rarity,cost,attack,defense,card_text,illustrator,last_scraped_details_at,created_at,updated_at
13,BP01-013,BP01,フェアリービースト,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/bp01_013.png,https://shadowverse-evolve.com/cardlist/?cardno=BP01-013&expansion=BP01&view=image,ブースターパック第1弾「創世の夜明け」,エルフ,フォロワー,妖精・獣,SR,5,5,5,起動EXエリアの妖精・フォロワー1枚を消滅：自分のリーダーは体力+3する。1枚引く。この能力は1ターンに1回使える。,風篠,2025-06-01 15:50:46.992506,2025-06-01 14:18:41.765128,2025-06-01 16:10:04.368352
18,BP02-003,BP02,古き森の白狼,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP02/bp02_003.png,https://shadowverse-evolve.com/cardlist/?cardno=BP02-003&expansion=BP02&view=image,ブースターパック第2弾「黒銀のバハムート」,エルフ,フォロワー,精霊・獣,LG,7,4,4,"【疾走】
ラストワード自分のデッキの上4枚を見る。その中から、エルフフォロワー1枚を場に出してよい。残りを好きな順にデッキの下に置く。",風篠,2025-06-01 16:58:31.462582,2025-06-01 14:18:44.133924,2025-06-01 16:10:06.831711
22,BP02-007,BP02,グランドアーチャー・セルウィン,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP02/bp02_007.png,https://shadowverse-evolve.com/cardlist/?cardno=BP02-007&expansion=BP02&view=image,ブースターパック第2弾「黒銀のバハムート」,エルフ,フォロワー・エボルヴ,狩人,GR,NULL,4,4,【進化時】相手の場のコスト3以下のカード1枚を選ぶ。それを破壊する。,TEDDY,2025-06-01 16:58:41.915379,2025-06-01 14:18:44.136837,2025-06-01 16:10:06.834888
12,BP01-012,BP01,ベビーエルフ・メイ,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/bp01_012.png,https://shadowverse-evolve.com/cardlist/?cardno=BP01-012&expansion=BP01&view=image,ブースターパック第1弾「創世の夜明け」,エルフ,フォロワー,エルフ族,SR,1,1,1,"これが場から手札に戻ったとき、相手のフォロワー1体を選ぶ。それに1ダメージ。
ファンファーレ相手のフォロワー1体を選ぶ。それに1ダメージ。",ツネくん,2025-06-01 15:50:44.572514,2025-06-01 14:18:41.763489,2025-06-01 16:10:04.367639
15,BP01-015,BP01,自然の導き,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/bp01_015.png,https://shadowverse-evolve.com/cardlist/?cardno=BP01-015&expansion=BP01&view=image,ブースターパック第1弾「創世の夜明け」,エルフ,スペル,妖精,SR,1,NULL,NULL,自分の場のカード1枚を選ぶ。それを手札に戻す。1枚引く。（手札に戻ったトークンはゲームから取り除く）,BP01-015,2025-06-01 15:50:51.59589,2025-06-01 14:18:41.767199,2025-06-01 16:10:04.36981
24,BP02-009,BP02,クリスタリア・リリィ,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP02/bp02_009.png,https://shadowverse-evolve.com/cardlist/?cardno=BP02-009&expansion=BP02&view=image,ブースターパック第2弾「黒銀のバハムート」,エルフ,フォロワー・エボルヴ,クリスタリア,SR,NULL,2,4,【進化時】相手のフォロワー1体を選ぶ。それのプレイヤーはそれをデッキの下に置く。（デッキに置いたトークンはゲームから取り除く）,ぽんず,2025-06-01 16:58:47.358397,2025-06-01 14:18:44.138348,2025-06-01 16:10:06.836697
9,BP01-009,BP01,エルフプリンセスメイジ,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/bp01_009.png,https://shadowverse-evolve.com/cardlist/?cardno=BP01-009&expansion=BP01&view=image,ブースターパック第1弾「創世の夜明け」,エルフ,フォロワー,エルフ族・プリンセス,SR,3,3,3,進化コスト1：これは進化する。,四々九,2025-06-01 15:44:01.107353,2025-06-01 14:18:41.76022,2025-06-01 16:10:04.36534
17,BP02-002,BP02,クリスタリアプリンセス・ティア,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP02/bp02_002.png,https://shadowverse-evolve.com/cardlist/?cardno=BP02-002&expansion=BP02&view=image,ブースターパック第2弾「黒銀のバハムート」,エルフ,フォロワー・エボルヴ,クリスタリア・プリンセス,LG,NULL,2,2,【進化時】自分の『クリスタリア・イヴ』1体を選ぶ。それは攻撃力+1/体力+1して、【突進】を持つ。,虹原,2025-06-01 15:50:56.241837,2025-06-01 14:18:44.131553,2025-06-01 16:10:06.830826
26,BP02-011,BP02,エルフの弓術,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP02/bp02_011.png,https://shadowverse-evolve.com/cardlist/?cardno=BP02-011&expansion=BP02&view=image,ブースターパック第2弾「黒銀のバハムート」,エルフ,スペル,エルフ族,SR,1,NULL,NULL,相手のフォロワー2体まで選ぶ。それに1ダメージ。【コンボ_3】代わりに2ダメージ。,ツネくん,2025-06-01 16:58:52.842879,2025-06-01 14:18:44.139521,2025-06-01 16:10:06.838477
30,BP02-015,BP02,フォレストギガース,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP02/bp02_015.png,https://shadowverse-evolve.com/cardlist/?cardno=BP02-015&expansion=BP02&view=image,ブースターパック第2弾「黒銀のバハムート」,エルフ,フォロワー・エボルヴ,精霊・巨人,BR,NULL,3,7,"【守護】
【進化時】相手のフォロワー1体を選ぶ。それに「これの攻撃力」と同じダメージ。",齊名,2025-06-01 17:11:48.405141,2025-06-01 14:18:44.141774,2025-06-01 16:11:48.405324
5,BP01-005,BP01,リノセウス,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/bp01_005.png,https://shadowverse-evolve.com/cardlist/?cardno=BP01-005&expansion=BP01&view=image,NULL,エルフ,フォロワー・エボルヴ,虫族,GR,NULL,NULL,NULL,【進化時】下記から1つチョイスする。【1】これは【疾走】を持つ。【2】相手のフォロワー1体を選ぶ。それに「これの攻撃力」と同じダメージ。,ねじ太,2025-06-01 15:19:38.273947,2025-06-01 14:18:41.757053,2025-06-01 16:10:04.362248
6,BP01-006,BP01,ロビンフッド,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/bp01_006.png,https://shadowverse-evolve.com/cardlist/?cardno=BP01-006&expansion=BP01&view=image,ブースターパック第1弾「創世の夜明け」,エルフ,フォロワー,狩人,GR,5,4,5,"ファンファーレ相手のフォロワー1体を選ぶ。それに4ダメージ。
起動コスト1これをアクト：相手のフォロワー1体を選ぶ。それに4ダメージ。",久方綜司,2025-06-01 15:43:53.969244,2025-06-01 14:18:41.757731,2025-06-01 16:10:04.363095
21,BP02-006,BP02,グランドアーチャー・セルウィン,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP02/bp02_006.png,https://shadowverse-evolve.com/cardlist/?cardno=BP02-006&expansion=BP02&view=image,ブースターパック第2弾「黒銀のバハムート」,エルフ,フォロワー,狩人,GR,4,3,3,"進化コスト1：これは進化する。
ファンファーレ【コンボ_4】相手のフォロワー1体を選ぶ。それに5ダメージ。",TEDDY,2025-06-01 16:58:39.423245,2025-06-01 14:18:44.136202,2025-06-01 16:10:06.834162
28,BP02-013,BP02,癒しのエルフ,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP02/bp02_013.png,https://shadowverse-evolve.com/cardlist/?cardno=BP02-013&expansion=BP02&view=image,ブースターパック第2弾「黒銀のバハムート」,エルフ,フォロワー,エルフ族,BR,3,1,5,ファンファーレ自分のリーダーは体力+3する。,tricky胡坐,2025-06-01 17:11:42.944588,2025-06-01 14:18:44.140612,2025-06-01 16:11:40.100395
38,BP03-008,BP03,アックスガール・アビー,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP03/bp03-008.png,https://shadowverse-evolve.com/cardlist/?cardno=BP03-008&expansion=BP03&view=image,ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」,エルフ,フォロワー,狩人,SR,3,3,4,【攻撃時】これは攻撃力+1する。その後、これの攻撃力が5以上なら、相手のリーダーすべてに2ダメージ。,ぽんず,2025-06-01 17:12:09.884289,2025-06-01 14:18:46.522465,2025-06-01 16:12:09.884477
42,BP03-012,BP03,フラワープリンセス,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP03/bp03-012.png,https://shadowverse-evolve.com/cardlist/?cardno=BP03-012&expansion=BP03&view=image,ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」,エルフ,フォロワー,プリンセス・童話,BR,2,2,3,"ファンファーレ『フェアリー』1枚をEXエリアに置く。【コンボ_3】これに童話カウンター1つを置く。
起動これをアクトこれの童話カウンター1つを取る：相手のフォロワー1体を選ぶ。それに3ダメージ。
―――――――――――――――
『フェアリー』エルフ妖精・フォロワーコスト1攻撃力1/体力1",キヌガサ雄一,2025-06-01 17:12:20.46873,2025-06-01 14:18:46.525008,2025-06-01 16:12:20.468885
44,BP03-014,BP03,ティートル・ディ＆ダム,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP03/bp03-014.png,https://shadowverse-evolve.com/cardlist/?cardno=BP03-014&expansion=BP03&view=image,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025-06-01 14:18:46.526175,2025-06-01 16:10:09.571482
45,BP03-015,BP03,ティートル・ディ＆ダム,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP03/bp03-015.png,https://shadowverse-evolve.com/cardlist/?cardno=BP03-015&expansion=BP03&view=image,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025-06-01 14:18:46.526777,2025-06-01 16:10:09.572362
46,BP04-001,BP04,カシオペア,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP04/bp04-001.png,https://shadowverse-evolve.com/cardlist/?cardno=BP04-001&expansion=BP04&view=image,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025-06-01 14:18:49.033045,2025-06-01 16:10:12.207825
47,BP04-002,BP04,森の魔女・C.C.,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP04/bp04-002.png,https://shadowverse-evolve.com/cardlist/?cardno=BP04-002&expansion=BP04&view=image,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025-06-01 14:18:49.034656,2025-06-01 16:10:12.20941
34,BP03-004,BP03,大魔法の妖精・リラ,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP03/bp03-004.png,https://shadowverse-evolve.com/cardlist/?cardno=BP03-004&expansion=BP03&view=image,ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」,エルフ,フォロワー,妖精・童話,GR,3,1,4,"起動これをアクト：これに童話カウンター1つを置く。
起動コスト1これの童話カウンター1つを取る：相手のフォロワー1体を選ぶ。それを破壊する。",前屋進,2025-06-01 17:11:59.137171,2025-06-01 14:18:46.519824,2025-06-01 16:11:59.137431
48,BP04-003,BP04,深き森の異形,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP04/bp04-003.png,https://shadowverse-evolve.com/cardlist/?cardno=BP04-003&expansion=BP04&view=image,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025-06-01 14:18:49.035954,2025-06-01 16:10:12.210448
49,BP04-004,BP04,深き森の異形,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP04/bp04-004.png,https://shadowverse-evolve.com/cardlist/?cardno=BP04-004&expansion=BP04&view=image,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025-06-01 14:18:49.037201,2025-06-01 16:10:12.211297
50,BP04-005,BP04,キングエレファント,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP04/bp04-005.png,https://shadowverse-evolve.com/cardlist/?cardno=BP04-005&expansion=BP04&view=image,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025-06-01 14:18:49.038444,2025-06-01 16:10:12.212034
51,BP04-006,BP04,キングエレファント,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP04/bp04-006.png,https://shadowverse-evolve.com/cardlist/?cardno=BP04-006&expansion=BP04&view=image,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025-06-01 14:18:49.039188,2025-06-01 16:10:12.212715
52,BP04-007,BP04,オシャレ女王・ネルシャ,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP04/bp04-007.png,https://shadowverse-evolve.com/cardlist/?cardno=BP04-007&expansion=BP04&view=image,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025-06-01 14:18:49.039834,2025-06-01 16:10:12.213349
53,BP04-008,BP04,新緑の加護,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP04/bp04-008.png,https://shadowverse-evolve.com/cardlist/?cardno=BP04-008&expansion=BP04&view=image,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025-06-01 14:18:49.040481,2025-06-01 16:10:12.214059
54,BP04-009,BP04,不可侵領域,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP04/bp04-009.png,https://shadowverse-evolve.com/cardlist/?cardno=BP04-009&expansion=BP04&view=image,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025-06-01 14:18:49.041077,2025-06-01 16:10:12.21473
55,BP04-010,BP04,小さな勇士・スクナ,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP04/bp04-010.png,https://shadowverse-evolve.com/cardlist/?cardno=BP04-010&expansion=BP04&view=image,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025-06-01 14:18:49.041642,2025-06-01 16:10:12.215452
56,BP04-011,BP04,小さな勇士・スクナ,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP04/bp04-011.png,https://shadowverse-evolve.com/cardlist/?cardno=BP04-011&expansion=BP04&view=image,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025-06-01 14:18:49.042253,2025-06-01 16:10:12.216205
57,BP04-012,BP04,忌刃鬼,https://shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP04/bp04-012.png,https://shadowverse-evolve.com/cardlist/?cardno=BP04-012&expansion=BP04&view=image,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025-06-01 14:18:49.042835,2025-06-01 16:10:12.216924
